post_id,title,category,score,num_comments,author,collected_at
47716490,FBI used iPhone notification data to retrieve deleted Signal messages,technology,341,166,01-_-,2026-04-10 16:12:01
47678844,Show HN: Marimo pair – Reactive Python notebooks as environments for agents,technology,85,19,manzt,2026-04-10 16:12:03
47719486,France to ditch Windows for Linux to reduce reliance on US tech,technology,99,35,Teever,2026-04-10 16:12:04
47708818,Native Instant Space Switching on macOS,science,589,288,PaulHoule,2026-04-10 16:12:05
47712656,We've raised $17M to build what comes after Git,technology,248,540,ellieh,2026-04-10 16:12:06
47718891,Supply chain nightmare: How Rust will be attacked and what we can do to mitigate,technology,29,11,fanf2,2026-04-10 16:12:06
47718114,US summons bank bosses over cyber risks from Anthropic's latest AI model,technology,43,20,ascold,2026-04-10 16:12:07
47718694,"""Negative"" views of Broadcom driving VMware migrations, rival says",worldnews,26,5,breve,2026-04-10 16:12:07
47717587,OpenAI backs Illinois bill that would limit when AI labs can be held liable,technology,358,254,smurda,2026-04-10 16:12:07
47715339,Show HN: Keeper – embedded secret store for Go (help me break it),entertainment,52,27,babawere,2026-04-10 16:12:08
47708697,"Show HN: QVAC SDK, a universal JavaScript SDK for building local AI applications",technology,23,5,qvac,2026-04-10 16:12:12
47719268,Born Private: Reserve your child's first email address with Proton,technology,10,5,teekert,2026-04-10 16:12:14
47707632,"Instant 1.0, a backend for AI-coded apps",technology,190,102,stopachka,2026-04-10 16:12:15
47706141,Research-Driven Agents: When an agent reads before it codes,science,199,52,hopechong,2026-04-10 16:12:15
47674950,An AI robot in my home,technology,61,26,kukanani,2026-04-10 16:12:16
47713113,"The Raft consensus algorithm explained through ""Mean Girls"" (2019)",technology,118,27,vermilingua,2026-04-10 16:12:18
47705413,Show HN: I built a Cargo-like build tool for C/C++,entertainment,160,146,randerson_112,2026-04-10 16:12:20
47665890,War on Raze,worldnews,25,15,tosh,2026-04-10 16:12:21
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",sports,26,4,russellharper,2026-04-10 16:12:22
47702196,"Show HN: CSS Studio. Design by hand, code by agent",entertainment,159,97,SirHound,2026-04-10 16:12:24
47695666,Show HN: Druids – Build your own software factory,technology,56,12,etherio,2026-04-10 16:12:24
47710835,"Show HN: Rust based eBook library for Python, with MIT license",entertainment,29,3,larry-the-agent,2026-04-10 16:12:29
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,technology,235,258,speckx,2026-04-10 16:12:30
